calibration_index,sample_id,input_file,reference_file,selection
17,102,images/img_102_SR11.5_RMSE0.0319_SSIM0.7840.JPEG,img_102_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
18,115,images/img_115_SR9.1_RMSE0.0330_SSIM0.8392.JPEG,img_115_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
19,116,images/img_116_SR10.9_RMSE0.0279_SSIM0.8514.JPEG,img_116_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
20,119,images/img_119_SR8.7_RMSE0.0508_SSIM0.7784.JPEG,img_119_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
21,137,images/img_137_SR9.1_RMSE0.0404_SSIM0.7751.JPEG,img_137_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
22,142,images/img_142_SR13.1_RMSE0.0351_SSIM0.8040.JPEG,img_142_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
23,145,images/img_145_SR9.0_RMSE0.0272_SSIM0.7988.JPEG,img_145_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
24,184,images/img_184_SR10.8_RMSE0.0601_SSIM0.7543.JPEG,img_184_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
25,189,images/img_189_SR9.1_RMSE0.0381_SSIM0.7252.JPEG,img_189_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
26,200,images/img_200_SR11.9_RMSE0.0902_SSIM0.6320.JPEG,img_200_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
27,204,images/img_204_SR9.9_RMSE0.0401_SSIM0.8069.JPEG,img_204_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
28,205,images/img_205_SR8.1_RMSE0.0303_SSIM0.8497.JPEG,img_205_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
29,207,images/img_207_SR12.4_RMSE0.0858_SSIM0.5052.JPEG,img_207_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
30,209,images/img_209_SR7.9_RMSE0.0395_SSIM0.8231.JPEG,img_209_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
31,224,images/img_224_SR9.3_RMSE0.0248_SSIM0.8590.JPEG,img_224_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
32,227,images/img_227_SR9.4_RMSE0.0401_SSIM0.7011.JPEG,img_227_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
33,231,images/img_231_SR10.5_RMSE0.0280_SSIM0.8201.JPEG,img_231_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
34,234,images/img_234_SR9.5_RMSE0.0535_SSIM0.6631.JPEG,img_234_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
35,252,images/img_252_SR9.0_RMSE0.0470_SSIM0.8090.JPEG,img_252_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
36,253,images/img_253_SR8.5_RMSE0.0393_SSIM0.8073.JPEG,img_253_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
37,258,images/img_258_SR12.6_RMSE0.0593_SSIM0.6692.JPEG,img_258_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
38,274,images/img_274_SR11.4_RMSE0.0286_SSIM0.8378.JPEG,img_274_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
39,277,images/img_277_SR10.3_RMSE0.0404_SSIM0.7838.JPEG,img_277_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
40,278,images/img_278_SR10.8_RMSE0.0208_SSIM0.8991.JPEG,img_278_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
41,279,images/img_279_SR11.7_RMSE0.0703_SSIM0.5942.JPEG,img_279_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
42,298,images/img_298_SR9.4_RMSE0.0458_SSIM0.7553.JPEG,img_298_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
43,301,images/img_301_SR12.5_RMSE0.0569_SSIM0.7010.JPEG,img_301_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
44,320,images/img_320_SR9.9_RMSE0.0376_SSIM0.8321.JPEG,img_320_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
45,321,images/img_321_SR9.3_RMSE0.0505_SSIM0.7647.JPEG,img_321_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
46,333,images/img_333_SR10.0_RMSE0.0573_SSIM0.6494.JPEG,img_333_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
47,335,images/img_335_SR9.3_RMSE0.1038_SSIM0.6068.JPEG,img_335_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
48,355,images/img_355_SR8.6_RMSE0.0334_SSIM0.8065.JPEG,img_355_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
49,356,images/img_356_SR8.9_RMSE0.0239_SSIM0.8799.JPEG,img_356_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
50,360,images/img_360_SR9.6_RMSE0.0468_SSIM0.7032.JPEG,img_360_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
51,394,images/img_394_SR8.8_RMSE0.0376_SSIM0.8722.JPEG,img_394_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
52,396,images/img_396_SR11.8_RMSE0.0279_SSIM0.8096.JPEG,img_396_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
53,402,images/img_402_SR9.3_RMSE0.0412_SSIM0.8243.JPEG,img_402_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
54,403,images/img_403_SR10.8_RMSE0.0740_SSIM0.6772.JPEG,img_403_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
55,404,images/img_404_SR12.0_RMSE0.0705_SSIM0.6426.JPEG,img_404_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
56,408,images/img_408_SR10.4_RMSE0.0689_SSIM0.6552.JPEG,img_408_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
57,410,images/img_410_SR8.5_RMSE0.0427_SSIM0.7869.JPEG,img_410_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
58,442,images/img_442_SR7.7_RMSE0.0339_SSIM0.7609.JPEG,img_442_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
59,444,images/img_444_SR11.0_RMSE0.0634_SSIM0.6384.JPEG,img_444_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
60,449,images/img_449_SR9.0_RMSE0.0162_SSIM0.8970.JPEG,img_449_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
61,450,images/img_450_SR10.2_RMSE0.0256_SSIM0.8513.JPEG,img_450_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
62,454,images/img_454_SR9.5_RMSE0.0645_SSIM0.7286.JPEG,img_454_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
63,458,images/img_458_SR10.9_RMSE0.0287_SSIM0.8370.JPEG,img_458_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
64,473,images/img_473_SR8.6_RMSE0.0587_SSIM0.7457.JPEG,img_473_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
65,498,images/img_498_SR9.9_RMSE0.0354_SSIM0.8415.JPEG,img_498_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
66,499,images/img_499_SR10.5_RMSE0.0261_SSIM0.8995.JPEG,img_499_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
67,500,images/img_500_SR10.5_RMSE0.0487_SSIM0.6934.JPEG,img_500_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
68,503,images/img_503_SR11.3_RMSE0.0432_SSIM0.6616.JPEG,img_503_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
69,510,images/img_510_SR10.2_RMSE0.0360_SSIM0.8563.JPEG,img_510_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
70,520,images/img_520_SR9.5_RMSE0.0827_SSIM0.7481.JPEG,img_520_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
71,524,images/img_524_SR10.7_RMSE0.0534_SSIM0.7177.JPEG,img_524_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
72,535,images/img_535_SR10.5_RMSE0.0487_SSIM0.8054.JPEG,img_535_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
73,537,images/img_537_SR10.7_RMSE0.0710_SSIM0.5999.JPEG,img_537_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
74,554,images/img_554_SR7.0_RMSE0.0469_SSIM0.4497.JPEG,img_554_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
75,559,images/img_559_SR10.4_RMSE0.0558_SSIM0.7162.JPEG,img_559_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
76,561,images/img_561_SR9.1_RMSE0.0516_SSIM0.7707.JPEG,img_561_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
77,569,images/img_569_SR7.1_RMSE0.0392_SSIM0.7904.JPEG,img_569_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
78,573,images/img_573_SR10.1_RMSE0.0669_SSIM0.6788.JPEG,img_573_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
79,593,images/img_593_SR9.2_RMSE0.0451_SSIM0.7602.JPEG,img_593_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
80,595,images/img_595_SR9.4_RMSE0.0656_SSIM0.6271.JPEG,img_595_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
81,604,images/img_604_SR11.8_RMSE0.0833_SSIM0.5725.JPEG,img_604_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
82,607,images/img_607_SR10.2_RMSE0.0477_SSIM0.7850.JPEG,img_607_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
83,609,images/img_609_SR10.5_RMSE0.0397_SSIM0.7896.JPEG,img_609_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
84,612,images/img_612_SR9.8_RMSE0.0176_SSIM0.8845.JPEG,img_612_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
85,613,images/img_613_SR9.9_RMSE0.0636_SSIM0.7169.JPEG,img_613_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
86,628,images/img_628_SR11.7_RMSE0.0533_SSIM0.6851.JPEG,img_628_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
87,630,images/img_630_SR11.4_RMSE0.0321_SSIM0.8735.JPEG,img_630_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
88,632,images/img_632_SR10.3_RMSE0.0476_SSIM0.7717.JPEG,img_632_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
89,646,images/img_646_SR10.5_RMSE0.0381_SSIM0.7733.JPEG,img_646_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
90,651,images/img_651_SR7.9_RMSE0.0286_SSIM0.9189.JPEG,img_651_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
91,653,images/img_653_SR10.2_RMSE0.0572_SSIM0.8051.JPEG,img_653_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
92,655,images/img_655_SR11.4_RMSE0.0906_SSIM0.5901.JPEG,img_655_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
93,667,images/img_667_SR9.2_RMSE0.0514_SSIM0.8176.JPEG,img_667_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
94,670,images/img_670_SR10.7_RMSE0.0705_SSIM0.7192.JPEG,img_670_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
95,683,images/img_683_SR11.1_RMSE0.0414_SSIM0.7870.JPEG,img_683_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
96,692,images/img_692_SR9.3_RMSE0.0453_SSIM0.7249.JPEG,img_692_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
97,698,images/img_698_SR10.5_RMSE0.0513_SSIM0.7521.JPEG,img_698_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
98,705,images/img_705_SR13.7_RMSE0.0882_SSIM0.7225.JPEG,img_705_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
99,709,images/img_709_SR12.0_RMSE0.0387_SSIM0.8063.JPEG,img_709_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
100,721,images/img_721_SR8.0_RMSE0.0434_SSIM0.7990.JPEG,img_721_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
101,722,images/img_722_SR9.4_RMSE0.0320_SSIM0.8576.JPEG,img_722_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
102,728,images/img_728_SR12.1_RMSE0.0417_SSIM0.7319.JPEG,img_728_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
103,733,images/img_733_SR9.0_RMSE0.0258_SSIM0.8521.JPEG,img_733_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
104,742,images/img_742_SR11.4_RMSE0.0327_SSIM0.8437.JPEG,img_742_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
105,743,images/img_743_SR10.8_RMSE0.0952_SSIM0.6356.JPEG,img_743_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
106,750,images/img_750_SR9.8_RMSE0.0419_SSIM0.7951.JPEG,img_750_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
107,762,images/img_762_SR10.7_RMSE0.0645_SSIM0.7262.JPEG,img_762_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
108,763,images/img_763_SR8.7_RMSE0.0400_SSIM0.8086.JPEG,img_763_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
109,771,images/img_771_SR8.4_RMSE0.0264_SSIM0.8626.JPEG,img_771_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
110,775,images/img_775_SR10.4_RMSE0.0609_SSIM0.6669.JPEG,img_775_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
111,778,images/img_778_SR10.1_RMSE0.0894_SSIM0.6533.JPEG,img_778_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
112,782,images/img_782_SR9.6_RMSE0.0537_SSIM0.7327.JPEG,img_782_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
113,786,images/img_786_SR11.0_RMSE0.0364_SSIM0.8515.JPEG,img_786_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
114,805,images/img_805_SR10.2_RMSE0.0462_SSIM0.8224.JPEG,img_805_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
115,809,images/img_809_SR11.5_RMSE0.0449_SSIM0.7931.JPEG,img_809_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
116,830,images/img_830_SR8.7_RMSE0.0350_SSIM0.8859.JPEG,img_830_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
117,842,images/img_842_SR8.9_RMSE0.0600_SSIM0.7262.JPEG,img_842_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
118,847,images/img_847_SR11.2_RMSE0.0345_SSIM0.8197.JPEG,img_847_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
119,848,images/img_848_SR12.6_RMSE0.0871_SSIM0.6811.JPEG,img_848_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
120,871,images/img_871_SR11.3_RMSE0.0606_SSIM0.6627.JPEG,img_871_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
121,873,images/img_873_SR10.2_RMSE0.0587_SSIM0.7427.JPEG,img_873_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
122,878,images/img_878_SR10.1_RMSE0.0555_SSIM0.8001.JPEG,img_878_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
123,880,images/img_880_SR12.8_RMSE0.0432_SSIM0.8501.JPEG,img_880_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
124,890,images/img_890_SR11.1_RMSE0.0540_SSIM0.6877.JPEG,img_890_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
125,892,images/img_892_SR9.4_RMSE0.0563_SSIM0.7126.JPEG,img_892_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
126,903,images/img_903_SR11.3_RMSE0.0648_SSIM0.7042.JPEG,img_903_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
127,906,images/img_906_SR10.8_RMSE0.0342_SSIM0.8081.JPEG,img_906_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
128,910,images/img_910_SR9.9_RMSE0.0375_SSIM0.8551.JPEG,img_910_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
129,913,images/img_913_SR9.7_RMSE0.0476_SSIM0.7892.JPEG,img_913_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
130,929,images/img_929_SR12.7_RMSE0.0808_SSIM0.6332.JPEG,img_929_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
131,939,images/img_939_SR9.7_RMSE0.0154_SSIM0.9055.JPEG,img_939_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
132,953,images/img_953_SR9.9_RMSE0.0567_SSIM0.7449.JPEG,img_953_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
133,961,images/img_961_SR9.9_RMSE0.0682_SSIM0.7491.JPEG,img_961_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
134,966,images/img_966_SR8.4_RMSE0.0388_SSIM0.7705.JPEG,img_966_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
135,975,images/img_975_SR10.2_RMSE0.0312_SSIM0.7911.JPEG,img_975_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
136,981,images/img_981_SR9.1_RMSE0.0224_SSIM0.8515.JPEG,img_981_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
137,1008,images/img_1008_SR10.1_RMSE0.0524_SSIM0.7675.JPEG,img_1008_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
138,1009,images/img_1009_SR11.1_RMSE0.0334_SSIM0.8198.JPEG,img_1009_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
139,1027,images/img_1027_SR9.7_RMSE0.0505_SSIM0.7537.JPEG,img_1027_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
140,1035,images/img_1035_SR8.2_RMSE0.0410_SSIM0.7918.JPEG,img_1035_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
141,1036,images/img_1036_SR11.3_RMSE0.0517_SSIM0.7151.JPEG,img_1036_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
142,1046,images/img_1046_SR13.7_RMSE0.0827_SSIM0.6658.JPEG,img_1046_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
143,1047,images/img_1047_SR11.3_RMSE0.0456_SSIM0.7665.JPEG,img_1047_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
144,1056,images/img_1056_SR11.1_RMSE0.0723_SSIM0.6111.JPEG,img_1056_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
145,1066,images/img_1066_SR9.5_RMSE0.0666_SSIM0.6408.JPEG,img_1066_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
146,1070,images/img_1070_SR10.3_RMSE0.0218_SSIM0.9166.JPEG,img_1070_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
147,1072,images/img_1072_SR8.0_RMSE0.0243_SSIM0.8756.JPEG,img_1072_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
148,1084,images/img_1084_SR11.9_RMSE0.0644_SSIM0.7493.JPEG,img_1084_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
149,1090,images/img_1090_SR9.1_RMSE0.0394_SSIM0.7500.JPEG,img_1090_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
150,1092,images/img_1092_SR12.1_RMSE0.0958_SSIM0.6501.JPEG,img_1092_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
151,1104,images/img_1104_SR10.3_RMSE0.0214_SSIM0.9103.JPEG,img_1104_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
152,1126,images/img_1126_SR13.0_RMSE0.1099_SSIM0.5470.JPEG,img_1126_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
153,1129,images/img_1129_SR11.0_RMSE0.0619_SSIM0.6441.JPEG,img_1129_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
154,1135,images/img_1135_SR10.9_RMSE0.0602_SSIM0.7282.JPEG,img_1135_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
155,1139,images/img_1139_SR7.9_RMSE0.0208_SSIM0.9181.JPEG,img_1139_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
156,1152,images/img_1152_SR8.1_RMSE0.0249_SSIM0.8922.JPEG,img_1152_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
157,1174,images/img_1174_SR9.7_RMSE0.0367_SSIM0.7793.JPEG,img_1174_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
158,1175,images/img_1175_SR9.3_RMSE0.0219_SSIM0.9078.JPEG,img_1175_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
159,1191,images/img_1191_SR12.5_RMSE0.0297_SSIM0.8411.JPEG,img_1191_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
160,1195,images/img_1195_SR10.1_RMSE0.0428_SSIM0.7831.JPEG,img_1195_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
161,1204,images/img_1204_SR10.2_RMSE0.0449_SSIM0.8333.JPEG,img_1204_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
162,1210,images/img_1210_SR9.9_RMSE0.0362_SSIM0.7718.JPEG,img_1210_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
163,1213,images/img_1213_SR9.7_RMSE0.0465_SSIM0.7565.JPEG,img_1213_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
164,1216,images/img_1216_SR10.6_RMSE0.0530_SSIM0.6190.JPEG,img_1216_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
165,1218,images/img_1218_SR9.0_RMSE0.0388_SSIM0.8251.JPEG,img_1218_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
166,1231,images/img_1231_SR10.6_RMSE0.0500_SSIM0.6790.JPEG,img_1231_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
167,1241,images/img_1241_SR12.7_RMSE0.0966_SSIM0.6492.JPEG,img_1241_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
168,1252,images/img_1252_SR12.6_RMSE0.0565_SSIM0.7422.JPEG,img_1252_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
169,1255,images/img_1255_SR9.7_RMSE0.0506_SSIM0.7618.JPEG,img_1255_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
170,1267,images/img_1267_SR9.4_RMSE0.0138_SSIM0.9397.JPEG,img_1267_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
171,1289,images/img_1289_SR9.4_RMSE0.0664_SSIM0.7692.JPEG,img_1289_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
172,1308,images/img_1308_SR11.8_RMSE0.0607_SSIM0.6948.JPEG,img_1308_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
173,1318,images/img_1318_SR11.6_RMSE0.0704_SSIM0.6277.JPEG,img_1318_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
174,1332,images/img_1332_SR11.7_RMSE0.0490_SSIM0.7588.JPEG,img_1332_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
175,1341,images/img_1341_SR10.4_RMSE0.0614_SSIM0.6750.JPEG,img_1341_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
176,1346,images/img_1346_SR9.8_RMSE0.0697_SSIM0.6279.JPEG,img_1346_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
177,1350,images/img_1350_SR8.3_RMSE0.0450_SSIM0.7756.JPEG,img_1350_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
178,1359,images/img_1359_SR11.5_RMSE0.0651_SSIM0.6782.JPEG,img_1359_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
179,1361,images/img_1361_SR12.7_RMSE0.0431_SSIM0.7835.JPEG,img_1361_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
180,1382,images/img_1382_SR10.1_RMSE0.0388_SSIM0.8008.JPEG,img_1382_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
181,1388,images/img_1388_SR10.2_RMSE0.0329_SSIM0.7769.JPEG,img_1388_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
182,1397,images/img_1397_SR10.0_RMSE0.0358_SSIM0.7667.JPEG,img_1397_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
183,1399,images/img_1399_SR9.1_RMSE0.0210_SSIM0.8674.JPEG,img_1399_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
